grupo,professor
Bases de Dados e Imagens,Agma Juci Machado Traina
Bases de Dados e Imagens,Caetano Traina Junior
Bases de Dados e Imagens,Cristina Dutra de Aguiar
Bases de Dados e Imagens,Elaine Parros Machado de Sousa
Bases de Dados e Imagens,José Fernando Rodrigues Junior
Ciência de Dados e Estatística,André Carlos Ponce de Leon Ferreira de Carvalho
Ciência de Dados e Estatística,Antonio Castelo Filho
Ciência de Dados e Estatística,Francisco Aparecido Rodrigues
Ciência de Dados e Estatística,Francisco Louzada Neto
Ciência de Dados e Estatística,Jorge Luis Bazán Guzmán
Ciência de Dados e Estatística,Luis Gustavo Nonato
Ciência de Dados e Estatística,Mário de Castro Andrade Filho
Computação Aplicada à Educação,Ellen Francine Barbosa
Computação Aplicada à Educação,Maria da Graça Campos Pimentel
Computação Aplicada à Educação,Renata Pontin de Mattos Fortes
Educação Matemática,Edna Maura Zuffi
Educação Matemática,Esther de Almeida Prado Rodrigues
Educação Matemática,Renata Cristina Geromel Meneghetti
Engenharia de Software e Sistemas de Informação,Adenilso da Silva Simão
Engenharia de Software e Sistemas de Informação,Elisa Yumi Nakagawa
Engenharia de Software e Sistemas de Informação,Ellen Francine Barbosa
Engenharia de Software e Sistemas de Informação,José Carlos Maldonado
Engenharia de Software e Sistemas de Informação,Márcio Eduardo Delamaro
Engenharia de Software e Sistemas de Informação,Renata Pontin de Mattos Fortes
Engenharia de Software e Sistemas de Informação,Rosana Teresinha Vaccare Braga
Engenharia de Software e Sistemas de Informação,Simone do Rocio Senger de Souza
Equações Diferenciais Parciais Lineares,Adalberto Panobianco Bergamasco
Equações Diferenciais Parciais Lineares,Evandro Raimundo da Silva
Equações Diferenciais Parciais Lineares,Paulo Leandro Dattori da Silva
Equações Diferenciais Parciais Lineares,Sergio Luis Zani
Equações Diferenciais Parciais Lineares,Éder Rítis Aragão Costa
"Equações Diferenciais, Sistemas Dinâmicos e Integração Não Absoluta",Everaldo de Mello Bonotto
"Equações Diferenciais, Sistemas Dinâmicos e Integração Não Absoluta",Marcia Cristina Anderson Braz Federson
"Equações Diferenciais, Sistemas Dinâmicos e Integração Não Absoluta",Miguel Vinicius Santini Frasson
Estatística,Adriano Kamimura Suzuki
Estatística,Cibele Maria Russo Novelli
Estatística,Francisco Aparecido Rodrigues
Estatística,Francisco Louzada Neto
Estatística,Jorge Luis Bazán Guzmán
Estatística,Katiane Silva Conceição
Estatística,Mariana Cúri
Estatística,Marinho Gomes de Andrade Filho
Estatística,Mário de Castro Andrade Filho
Estatística,Reiko Aoki
Estatística,Ricardo Sandes Ehlers
Geometria Diferencial,Daniel Gomes Fadel
Geometria Diferencial,Fernando Manfio
Geometria Diferencial,Igor Mencattini
Geometria Diferencial,Pedro Paulo de Magalhães Rios
Geometria Diferencial,Ruy Tojeiro de Figueiredo Junior
Inteligência Artificial (Aprendizado de Máquina e Mineração de Dados),Alneu de Andrade Lopes
Inteligência Artificial (Aprendizado de Máquina e Mineração de Dados),André Carlos Ponce de Leon Ferreira de Carvalho
Inteligência Artificial (Aprendizado de Máquina e Mineração de Dados),Solange Oliveira Rezende
Inteligência Artificial (Computação Bioinspirada),André Carlos Ponce de Leon Ferreira de Carvalho
Inteligência Artificial (Computação Bioinspirada),João Luis Garcia Rosa
Inteligência Artificial (Computação Bioinspirada),Roseli Aparecida Francelin Romero
Inteligência Artificial (Linguística Computacional),Diego Raphael Amancio
Inteligência Artificial (Linguística Computacional),Maria das Graças Volpe Nunes
Inteligência Artificial (Linguística Computacional),Sandra Maria Aluisio
Inteligência Artificial (Linguística Computacional),Thiago Alexandre Salgueiro Pardo
Jogos Digitais,Cláudio Fabiano Motta Toledo
Jogos Digitais,Eduardo do Valle Simões
Jogos Digitais,Fernando Santos Osório
Jogos Digitais,Francisco José Monaco
Jogos Digitais,Kamila Rios da Hora Rodrigues
Mecânica dos Fluidos Computacional,Afonso Paiva Neto
Mecânica dos Fluidos Computacional,Antonio Castelo Filho
Mecânica dos Fluidos Computacional,Fabrício Simeoni de Sousa
Mecânica dos Fluidos Computacional,José Alberto Cuminato
Mecânica dos Fluidos Computacional,Leandro Franco de Souza
Mecânica dos Fluidos Computacional,Maria Luísa Bambozzi de Oliveira
Mecânica dos Fluidos Computacional,Roberto Federico Ausas
Modelagem de Risco,Adriano Kamimura Suzuki
Modelagem de Risco,Francisco Louzada Neto
Modelagem de Risco,Katiane Silva Conceição
Modelagem de Risco,Marinho Gomes de Andrade Filho
Modelagem de Risco,Mário de Castro Andrade Filho
Modelagem de Risco,Vicente Garibay Cancho
Modelos de Variáveis Latentes,Cibele Maria Russo Novelli
Modelos de Variáveis Latentes,Jorge Luis Bazán Guzmán
Modelos de Variáveis Latentes,Mariana Cúri
Otimização,Eduardo Fontoura Costa
Otimização,Elias Salomão Helou Neto
Otimização,Franklina Maria Bragion de Toledo
Otimização,Marina Andretta
Otimização,Maristela Oliveira dos Santos
Processamento Visual e Geométrico,Afonso Paiva Neto
Processamento Visual e Geométrico,Antonio Castelo Filho
Processamento Visual e Geométrico,Luis Gustavo Nonato
